time,gFx,gFy,gFz,
2022-10-12 16:54:12,-0.09,-0.532,-0.654,0.848
2022-10-12 16:54:12,-0.09,-0.532,-0.654,0.848
2022-10-12 16:54:12,-0.145,-0.602,-0.643,0.893
2022-10-12 16:54:12,-0.16,-0.582,-0.682,0.911
2022-10-12 16:54:12,-0.117,-0.519,-0.776,0.941
2022-10-12 16:54:13,-0.024,-0.497,-0.879,1.01
2022-10-12 16:54:13,-0.024,-0.497,-0.879,1.01
2022-10-12 16:54:13,0.032,-0.504,-0.882,1.016
2022-10-12 16:54:13,0.076,-0.521,-0.916,1.057
2022-10-12 16:54:13,0.126,-0.558,-0.926,1.088
2022-10-12 16:54:13,0.145,-0.6,-0.873,1.069
2022-10-12 16:54:13,0.102,-0.612,-0.827,1.034
2022-10-12 16:54:13,0.056,-0.619,-0.808,1.019
2022-10-12 16:54:13,0.039,-0.623,-0.839,1.046
2022-10-12 16:54:13,0.044,-0.621,-0.903,1.097
2022-10-12 16:54:13,0.035,-0.564,-1.034,1.178
2022-10-12 16:54:13,0.035,-0.564,-1.034,1.178
2022-10-12 16:54:13,0.016,-0.547,-1.05,1.184
2022-10-12 16:54:13,0.018,-0.535,-0.998,1.132
2022-10-12 16:54:13,0.018,-0.531,-0.904,1.049
2022-10-12 16:54:13,0.004,-0.55,-0.801,0.972
2022-10-12 16:54:13,0,-0.586,-0.731,0.937
2022-10-12 16:54:13,0.003,-0.611,-0.72,0.944
2022-10-12 16:54:13,0,-0.608,-0.741,0.959
2022-10-12 16:54:13,-0.008,-0.58,-0.775,0.968
2022-10-12 16:54:13,0.051,-0.589,-0.874,1.055
2022-10-12 16:54:13,0.051,-0.589,-0.874,1.055
2022-10-12 16:54:13,0.051,-0.589,-0.874,1.055
2022-10-12 16:54:13,0.07,-0.585,-0.859,1.042
2022-10-12 16:54:13,0.053,-0.575,-0.825,1.007
2022-10-12 16:54:13,0.015,-0.576,-0.819,1.001
2022-10-12 16:54:13,0.023,-0.547,-0.792,0.963
2022-10-12 16:54:13,0.01,-0.547,-0.786,0.958
2022-10-12 16:54:13,0.006,-0.576,-0.814,0.997
2022-10-12 16:54:13,0.03,-0.592,-0.832,1.022
2022-10-12 16:54:13,0.038,-0.597,-0.822,1.017
2022-10-12 16:54:13,0.025,-0.593,-0.79,0.988
2022-10-12 16:54:13,0.025,-0.593,-0.79,0.988
2022-10-12 16:54:13,0.029,-0.583,-0.788,0.981
2022-10-12 16:54:13,0.027,-0.56,-0.783,0.963
2022-10-12 16:54:13,0.023,-0.545,-0.775,0.948
2022-10-12 16:54:13,0.024,-0.516,-0.765,0.923
2022-10-12 16:54:13,0.044,-0.481,-0.74,0.884
2022-10-12 16:54:13,0.083,-0.467,-0.689,0.836
2022-10-12 16:54:13,0.11,-0.49,-0.647,0.819
2022-10-12 16:54:13,-0.046,-0.302,-0.541,0.621
2022-10-12 16:54:13,-0.046,-0.302,-0.541,0.621
2022-10-12 16:54:13,-0.046,-0.302,-0.541,0.621
2022-10-12 16:54:13,-0.126,-0.207,-0.471,0.53
2022-10-12 16:54:13,-0.223,-0.186,-0.466,0.549
2022-10-12 16:54:13,-0.285,-0.239,-0.552,0.666
2022-10-12 16:54:13,-0.181,-0.324,-0.594,0.7
2022-10-12 16:54:13,0.054,-0.355,-0.587,0.688
2022-10-12 16:54:13,0.311,-0.382,-0.577,0.759
2022-10-12 16:54:13,0.38,-0.391,-0.629,0.832
2022-10-12 16:54:13,0.346,-0.254,-0.813,0.919
2022-10-12 16:54:13,0.173,-0.137,-1.034,1.057
2022-10-12 16:54:13,0.173,-0.137,-1.034,1.057
2022-10-12 16:54:13,0.208,-0.138,-0.761,0.801
2022-10-12 16:54:13,0.359,-0.381,-0.467,0.702
2022-10-12 16:54:13,0.455,-0.689,-0.427,0.93
2022-10-12 16:54:13,0.46,-0.792,-0.578,1.083
2022-10-12 16:54:13,0.394,-0.673,-0.753,1.084
2022-10-12 16:54:13,0.293,-0.52,-0.752,0.96
2022-10-12 16:54:13,0.246,-0.462,-0.534,0.748
2022-10-12 16:54:13,0.489,-0.582,-0.428,0.872
2022-10-12 16:54:13,0.489,-0.582,-0.428,0.872
2022-10-12 16:54:13,0.489,-0.582,-0.428,0.872
2022-10-12 16:54:13,0.5,-0.542,-0.67,0.996
2022-10-12 16:54:13,0.555,-0.51,-0.987,1.242
2022-10-12 16:54:13,0.688,-0.592,-1.146,1.462
2022-10-12 16:54:13,0.93,-0.841,-1.196,1.733
2022-10-12 16:54:13,1.128,-0.944,-1.215,1.908
2022-10-12 16:54:13,1.163,-1.026,-1.185,1.952
2022-10-12 16:54:13,1.057,-0.939,-1.04,1.755
2022-10-12 16:54:13,0.748,-0.73,-0.62,1.215
2022-10-12 16:54:13,0.748,-0.73,-0.62,1.215
2022-10-12 16:54:13,0.748,-0.73,-0.62,1.215
2022-10-12 16:54:13,0.632,-0.565,-0.541,1.006
2022-10-12 16:54:13,0.486,-0.417,-0.406,0.758
2022-10-12 16:54:13,0.412,-0.313,-0.362,0.631
2022-10-12 16:54:13,0.4,-0.156,-0.428,0.606
2022-10-12 16:54:13,0.375,0.031,-0.48,0.61
2022-10-12 16:54:13,0.351,0.196,-0.442,0.597
2022-10-12 16:54:13,0.388,0.263,-0.331,0.574
2022-10-12 16:54:13,0.75,0.062,-0.372,0.839
2022-10-12 16:54:13,0.75,0.062,-0.372,0.839
2022-10-12 16:54:13,0.75,0.062,-0.372,0.839
2022-10-12 16:54:13,0.902,-0.059,-0.334,0.964
2022-10-12 16:54:13,0.997,-0.129,-0.237,1.033
2022-10-12 16:54:13,1.059,-0.184,-0.151,1.085
2022-10-12 16:54:13,1.053,-0.229,-0.124,1.085
2022-10-12 16:54:13,1.047,-0.279,-0.154,1.094
2022-10-12 16:54:13,1.069,-0.336,-0.258,1.15
2022-10-12 16:54:13,1.169,-0.405,-0.401,1.301
2022-10-12 16:54:13,1.344,-0.441,-0.479,1.493
2022-10-12 16:54:13,1.344,-0.441,-0.479,1.493
2022-10-12 16:54:13,1.344,-0.441,-0.479,1.493
2022-10-12 16:54:13,1.365,-0.265,-0.824,1.616
2022-10-12 16:54:13,0.997,0.489,-2.748,2.964
2022-10-12 16:54:13,0.982,-0.448,0.693,1.283
2022-10-12 16:54:13,1.526,-0.016,-1.018,1.834
2022-10-12 16:54:13,1.205,-0.202,-0.606,1.364
2022-10-12 16:54:13,1.189,0.045,-0.361,1.243
2022-10-12 16:54:14,1.063,0.23,-0.682,1.284
2022-10-12 16:54:14,0.568,0.86,-0.652,1.22
2022-10-12 16:54:14,0.568,0.86,-0.652,1.22
2022-10-12 16:54:14,0.568,0.86,-0.652,1.22
2022-10-12 16:54:14,0.517,0.772,-0.623,1.119
2022-10-12 16:54:14,0.534,0.546,-0.458,0.891
2022-10-12 16:54:14,0.457,0.629,-0.388,0.869
2022-10-12 16:54:14,0.507,0.582,-0.215,0.801
2022-10-12 16:54:14,0.421,0.301,0.183,0.549
2022-10-12 16:54:14,0.462,0.111,0.141,0.496
2022-10-12 16:54:14,0.726,0.001,0.28,0.778
2022-10-12 16:54:14,0.603,-0.067,-0.056,0.609
2022-10-12 16:54:14,0.603,-0.067,-0.056,0.609
2022-10-12 16:54:14,0.603,-0.067,-0.056,0.609
2022-10-12 16:54:14,0.444,-0.269,-0.035,0.52
2022-10-12 16:54:14,1.301,-0.168,-0.715,1.494
2022-10-12 16:54:14,2.99,0.16,-0.969,3.147
2022-10-12 16:54:14,2.191,0.373,0.709,2.333
2022-10-12 16:54:14,1.818,0.222,-0.72,1.968
2022-10-12 16:54:14,1.09,0.062,0.355,1.148
2022-10-12 16:54:14,0.77,0.045,0.113,0.78
2022-10-12 16:54:14,0.311,0.007,-0.338,0.459
2022-10-12 16:54:14,1.171,-1.045,-0.472,1.639
2022-10-12 16:54:14,1.171,-1.045,-0.472,1.639
2022-10-12 16:54:14,2.055,-1.512,0.06,2.552
2022-10-12 16:54:14,1.73,-1.15,0.151,2.083
2022-10-12 16:54:14,1.035,-0.584,-2.169,2.473
2022-10-12 16:54:14,0.817,-0.375,-0.517,1.037
2022-10-12 16:54:14,0.778,-0.293,0.381,0.914
2022-10-12 16:54:14,0.833,-0.468,-1.34,1.646
2022-10-12 16:54:14,0.691,-0.566,-0.316,0.947
