Segment,Latitude,Longitude,Altitude (m),Time (UTC ISO),Time (UTC),Time (Local),UNIX Epoch Time
1,53.34445578,-6.259617711,1.287775755,2022-10-13T15:53:10.184Z,2022-10-13 15:53:10,2022-10-13 16:53:10,1665676390
1,53.34445616,-6.259603907,1.199974418,2022-10-13T15:53:11.760Z,2022-10-13 15:53:12,2022-10-13 16:53:12,1665676392
1,53.34443649,-6.25963236,1.157601595,2022-10-13T15:53:12.184Z,2022-10-13 15:53:12,2022-10-13 16:53:12,1665676392
1,53.34444489,-6.259636769,1.233623505,2022-10-13T15:53:13.184Z,2022-10-13 15:53:13,2022-10-13 16:53:13,1665676393
1,53.34444884,-6.259605104,6.930710793,2022-10-13T15:53:14.185Z,2022-10-13 15:53:14,2022-10-13 16:53:14,1665676394
1,53.34447013,-6.25956608,7.403393269,2022-10-13T15:53:15.185Z,2022-10-13 15:53:15,2022-10-13 16:53:15,1665676395
1,53.344471,-6.259542685,7.403478622,2022-10-13T15:53:15.861Z,2022-10-13 15:53:16,2022-10-13 16:53:16,1665676396
1,53.34447637,-6.25953379,7.359947205,2022-10-13T15:53:16.861Z,2022-10-13 15:53:17,2022-10-13 16:53:17,1665676397
1,53.34448826,-6.259543974,7.325903416,2022-10-13T15:53:17.861Z,2022-10-13 15:53:18,2022-10-13 16:53:18,1665676398
1,53.34449842,-6.259553888,7.325331211,2022-10-13T15:53:18.861Z,2022-10-13 15:53:19,2022-10-13 16:53:19,1665676399
1,53.34450116,-6.259570937,7.344764709,2022-10-13T15:53:19.861Z,2022-10-13 15:53:20,2022-10-13 16:53:20,1665676400
1,53.34451396,-6.259595773,7.377359867,2022-10-13T15:53:20.861Z,2022-10-13 15:53:21,2022-10-13 16:53:21,1665676401
1,53.34452649,-6.259571138,7.430868149,2022-10-13T15:53:21.861Z,2022-10-13 15:53:22,2022-10-13 16:53:22,1665676402
1,53.3445467,-6.259522856,7.453384876,2022-10-13T15:53:22.861Z,2022-10-13 15:53:23,2022-10-13 16:53:23,1665676403
1,53.34457457,-6.259525486,7.442617893,2022-10-13T15:53:23.861Z,2022-10-13 15:53:24,2022-10-13 16:53:24,1665676404
1,53.34460362,-6.259540787,7.459442139,2022-10-13T15:53:24.861Z,2022-10-13 15:53:25,2022-10-13 16:53:25,1665676405
